quarter,level_1,level_2,value
2016-Q4,Total,Computer & Telecommunications Equipment,97.3
2016-Q4,Total,Optical Goods & Books,94.3
2016-Q4,Total,Others,117.5
2017-Q1,Total,Department Stores,99.6
2017-Q1,Total,Supermarkets,99.6
2017-Q1,Total,Mini-marts & Convenience Stores,92.7
2017-Q1,Total,Food Retailers,85.8
2017-Q1,Total,Motor Vehicles,200.7
2017-Q1,Total,Petrol Service Stations,81.8
2017-Q1,Total,Medical Goods & Toiletries,116.8
2017-Q1,Total,Wearing Apparel & Footwear,96.2
2017-Q1,Total,Furniture & Household Equipment,93.4
2017-Q1,Total,Recreational Goods,90.7
2017-Q1,Total,Watches & Jewellery,99.5
2017-Q1,Total,Computer & Telecommunications Equipment,74.5
2017-Q1,Total,Optical Goods & Books,87.7
2017-Q1,Total,Others,113.7
2017-Q2,Total,Department Stores,101
2017-Q2,Total,Supermarkets,94.3
2017-Q2,Total,Mini-marts & Convenience Stores,91.7
2017-Q2,Total,Food Retailers,75
2017-Q2,Total,Motor Vehicles,200.5
2017-Q2,Total,Petrol Service Stations,82.5
2017-Q2,Total,Medical Goods & Toiletries,110.4
2017-Q2,Total,Wearing Apparel & Footwear,87.5
2017-Q2,Total,Furniture & Household Equipment,100.5
2017-Q2,Total,Recreational Goods,90.9
2017-Q2,Total,Watches & Jewellery,90.9
2017-Q2,Total,Computer & Telecommunications Equipment,70.7
2017-Q2,Total,Optical Goods & Books,85.9
2017-Q2,Total,Others,108.1
2017-Q3,Total,Department Stores,100.8
2017-Q3,Total,Supermarkets,101.3
2017-Q3,Total,Mini-marts & Convenience Stores,96.4
2017-Q3,Total,Food Retailers,78.6
2017-Q3,Total,Motor Vehicles,184.7
2017-Q3,Total,Petrol Service Stations,83.8
2017-Q3,Total,Medical Goods & Toiletries,116.5
2017-Q3,Total,Wearing Apparel & Footwear,89.1
2017-Q3,Total,Furniture & Household Equipment,94.5
2017-Q3,Total,Recreational Goods,93.3
2017-Q3,Total,Watches & Jewellery,88.9
2017-Q3,Total,Computer & Telecommunications Equipment,73.3
2017-Q3,Total,Optical Goods & Books,82.8
2017-Q3,Total,Others,113.7
